"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"335",13,"Robbie Chosen",MIA,"WR117","208","381","296.4","35.9","+80"
"336",13,"Ryan Succop",FA,"K28","216","341","278.0","43.8","+127"
"337",13,"Cameron Dicker",LAC,"K29","204","342","295.8","37.0","-135"
"338",13,"Eric Gray",NYG,"RB93","242","388","321.5","32.0","+5"
"339",13,"Deon Jackson",IND,"RB94","148","382","310.3","47.2","-51"
"340",13,"Trayveon Williams",CIN,"RB95","189","383","308.1","42.0","-"
"341",13,"Will Levis",TEN,"QB35","185","387","331.4","33.7","-"
"342",14,"Deonte Harty",BUF,"WR118","220","396","283.0","41.7","+66"
"343",14,"KJ Hamler",FA,"WR119","229","383","289.9","36.2","-"
"344",14,"Melvin Gordon III",BAL,"RB96","237","392","325.4","27.8","-18"
"345",14,"Robert Tonyan",CHI,"TE39","191","374","328.8","33.1","-27"
"346",14,"DeeJay Dallas",SEA,"RB97","238","388","331.7","26.2","-"
"347",14,"Luke Schoonmaker",DAL,"TE40","245","369","325.8","26.2","-41"
